timestamp,value
"2017-02-21 17:54:34.360",2.28
"2017-02-21 17:56:20.210",2.03
"2017-02-21 18:14:56.279",1.92
"2017-02-21 18:16:59.560",2.41
"2017-02-21 18:22:26.134",1.97
"2017-02-21 18:32:14.127",2.08
"2017-02-21 18:34:02.108",1.92
"2017-02-21 18:42:38.448",2.41
"2017-02-21 18:44:27.881",2.08
"2017-02-21 21:45:05.070",1.97
"2017-02-21 21:46:53.714",NULL
"2017-02-21 21:55:09.348",2.06
"2017-02-21 21:56:57.846",2.24
"2017-02-21 22:18:56.545",1.9
"2017-02-21 22:20:44.327",2.6
"2017-02-21 22:31:22.825",NULL
"2017-02-21 22:33:12.333",2.03
"2017-02-21 23:57:26.742",2.28
"2017-02-21 23:59:14.674",3.41
"2017-02-22 00:01:16.627",NULL
"2017-02-22 00:03:04.444",4.23
"2017-02-22 01:04:17.359",3.26
"2017-02-22 01:06:06.095",3.31
"2017-02-22 01:34:23.982",NULL
"2017-02-22 01:36:12.174",2.18
"2017-02-22 03:29:49.647",NULL
"2017-02-22 03:31:38.244",NULL
"2017-02-22 03:35:04.331",NULL
"2017-02-22 03:36:53.335",NULL
"2017-02-22 03:45:32.242",2.01
"2017-02-22 03:47:20.586",3.11
"2017-02-22 03:53:02.818",NULL
"2017-02-22 03:54:51.943",NULL
"2017-02-22 04:13:09.189",2.07
"2017-02-22 04:14:57.634",1.9
"2017-02-24 13:41:00.167",1.8
"2017-02-24 13:42:49.202",2.32
"2017-02-24 14:26:29.215",2.02
"2017-02-24 14:28:18.051",2.71
"2017-02-24 15:22:37.758",1.23
"2017-02-24 15:24:26.347",0.53
"2017-02-24 15:29:29.841",0.96
"2017-02-24 15:31:19.279",NULL
"2017-02-24 15:39:58.331",NULL
"2017-02-24 15:41:48.765",1.25
"2017-02-24 15:43:33.515",2.14
"2017-02-24 15:45:22.490",NULL
"2017-02-24 15:47:07.328",1.6
"2017-02-24 15:48:56.458",1.74
"2017-02-24 15:50:41.352",0.3
"2017-02-24 15:52:30.614",1.6
"2017-02-24 15:54:15.708",1.53
"2017-02-24 15:56:04.922",2.26
"2017-02-24 15:57:50.008",1.37
"2017-02-24 15:59:39.581",1.93
"2017-02-24 16:01:24.475",NULL
"2017-02-24 16:03:13.811",1.6
"2017-02-24 16:04:58.495",1.64
"2017-02-24 16:06:46.713",NULL
"2017-02-24 16:08:31.697",1.84
"2017-02-24 16:10:21.156",1.82
"2017-02-24 16:12:06.334",1.83
"2017-02-24 16:13:56.313",1.87
"2017-02-24 16:34:19.481",NULL
"2017-02-24 16:36:09.649",0.35
"2017-02-24 16:38:50.207",1.22
"2017-02-24 16:40:38.778",NULL
"2017-02-24 16:43:19.849",2.05
"2017-02-24 16:45:09.514",1.45
"2017-02-24 16:47:48.576",1.71
"2017-02-24 16:49:37.994",1.77
"2017-02-24 17:45:09.923",NULL
"2017-02-24 17:54:47.633",2.5
"2017-02-24 18:01:29.765",NULL
"2017-02-24 18:04:34.972",NULL
"2017-02-24 18:14:54.776",NULL
"2017-02-24 18:16:43.844",NULL
"2017-02-25 14:00:36.798",2.17
"2017-02-25 14:02:25.454",2.16
"2017-02-25 14:33:16.654",NULL
"2017-02-25 14:39:16.552",NULL
"2017-02-25 15:04:15.370",1.75
"2017-02-25 15:17:46.690",2.07
"2017-02-25 15:34:15.098",1.74
"2017-02-25 15:47:11.047",2.27
"2017-02-25 16:04:18.318",2.06
"2017-02-25 16:09:15.827",0.34
"2017-02-25 16:21:12.665",2.09
"2017-02-25 16:30:04.427",2.71
"2017-02-25 16:44:18.766",NULL
"2017-02-25 16:53:23.607",1.77
"2017-02-25 17:02:44.067",NULL
"2017-02-25 17:04:57.451",2.14
"2017-02-25 17:07:10.292",NULL
"2017-02-25 17:09:22.905",NULL
"2017-02-25 17:11:36.181",NULL
"2017-02-25 17:26:12.928",1.93
"2017-02-25 17:28:21.246",0.21
"2017-02-25 17:30:29.601",2.39
"2017-02-25 17:32:37.940",1.77
"2017-02-25 17:34:46.943",1.77
"2017-02-25 17:41:39.739",1.57
"2017-02-25 17:46:53.739",1.92
"2017-02-25 17:50:53.819",1.68
"2017-02-25 17:57:55.138",2.37
"2017-02-25 18:04:56.884",NULL
"2017-02-25 18:11:58.435",2.93
"2017-02-25 18:18:59.942",1.94
"2017-02-25 18:30:42.975",2.02
"2017-02-25 18:37:44.440",2.5
"2017-02-25 18:47:50.783",1.72
"2017-02-25 18:49:50.839",2.24
"2017-03-02 13:58:01.776",1.82
"2017-03-02 16:30:41.697",NULL
"2017-03-02 16:32:24.071",2.13
"2017-03-02 16:35:39.968",1.98
"2017-03-02 16:37:21.638",2
"2017-03-02 16:42:59.704",1.56
"2017-03-02 16:44:42.122",1.84
"2017-03-02 16:48:42.291",1.99
"2017-03-02 16:50:25.936",2.01
"2017-03-02 16:58:01.272",1.82
"2017-03-02 17:00:19.045",0.28
"2017-03-02 17:27:26.861",2.46
"2017-03-02 17:29:00.460",1.89
"2017-03-02 17:43:24.739",1.4
"2017-03-02 17:44:58.375",NULL
"2017-03-02 17:51:35.634",2.2
"2017-03-02 17:53:09.259",2.26
"2017-03-02 18:02:44.856",1.7
"2017-03-02 18:04:18.456",1.99
"2017-03-02 18:05:52.047",2.08
"2017-03-02 18:07:25.861",1.67
"2017-03-02 18:25:24.511",NULL
"2017-03-02 18:26:58.138",NULL
"2017-03-02 18:28:31.822",NULL
"2017-03-02 18:30:05.245",NULL
"2017-03-02 18:43:40.132",NULL
"2017-03-02 18:45:14.017",0.4
"2017-03-02 18:46:47.873",NULL
"2017-03-02 18:48:21.740",1.35
"2017-03-02 19:02:36.784",NULL
"2017-03-02 19:04:10.726",NULL
"2017-03-02 19:05:44.084",NULL
"2017-03-02 19:07:17.671",NULL
"2017-03-02 19:14:33.492",0.32
"2017-03-02 19:16:07.296",1.85
"2017-03-02 19:17:40.894",1.77
"2017-03-02 19:19:14.571",1.77
"2017-03-02 19:21:12.123",1.8
"2017-03-02 19:22:48.406",1.35
"2017-03-02 19:24:22.174",1.96
"2017-03-02 19:25:55.910",2.3
"2017-03-02 19:58:54.229",1.85
"2017-03-02 20:00:21.923",NULL
"2017-03-02 20:01:49.104",NULL
"2017-03-02 20:03:16.704",2.1
"2017-03-02 20:10:54.081",1.83
"2017-03-02 20:12:28.291",2.03
"2017-03-02 20:14:01.847",1.82
"2017-03-02 20:15:35.412",2.13
"2017-03-02 20:17:32.499",1.82
"2017-03-02 20:19:10.819",2.62
"2017-03-02 20:20:44.311",NULL
"2017-03-02 20:22:17.752",0.36
"2017-03-02 20:24:16.006",1.7
"2017-03-02 20:25:52.960",1.06
"2017-03-02 20:27:26.407",1.88
"2017-03-02 20:28:59.540",1.52
"2017-03-02 20:30:57.482",1.86
"2017-03-02 20:32:24.837",2.28
"2017-03-02 20:33:58.616",2.05
"2017-03-02 20:35:32.043",1.48
"2017-03-02 20:37:31.817",1.67
"2017-03-02 20:39:10.728",NULL
"2017-03-02 20:40:44.051",1.86
"2017-03-02 20:42:17.445",2.35
"2017-03-02 20:51:16.115",1.48
"2017-03-02 20:52:50.172",1.81
"2017-03-02 20:54:24.042",1.6
"2017-03-02 20:55:57.716",2.05
"2017-03-02 20:57:55.296",1.98
"2017-03-02 21:14:38.184",NULL
"2017-03-02 21:16:10.771",1.79
"2017-03-02 21:17:43.845",2.05
"2017-03-02 21:19:17.146",1.84
"2017-03-02 21:20:50.617",2.29
"2017-03-02 21:52:45.511",1.72
"2017-03-02 21:54:12.999",1.85
"2017-03-02 21:55:47.146",2.09
"2017-03-02 22:01:59.617",0.28
"2017-03-02 22:03:49.949",2.01
"2017-03-02 22:05:23.656",2.22
"2017-03-02 22:06:57.114",2.21
"2017-03-02 22:08:55.213",2.36
"2017-03-02 22:22:01.651",1.96
"2017-03-02 22:23:52.144",2.18
"2017-03-02 22:25:25.541",1.72
"2017-03-02 22:26:59.656",2.54
"2017-03-02 22:28:57.487",0.39
"2017-03-02 22:35:54.608",1.64
"2017-03-02 22:37:44.217",0.52
"2017-03-02 22:39:18.051",1.98
"2017-03-02 22:40:51.594",2.47
"2017-03-02 22:42:48.723",1.48
"2017-03-02 22:44:04.042",2.66
"2017-03-02 22:45:53.976",1.49
"2017-03-02 22:47:27.826",2.06
"2017-03-02 22:49:01.442",1.77
"2017-03-02 22:50:58.765",NULL
"2017-03-02 22:52:11.853",2.17
"2017-03-02 22:54:01.010",NULL
"2017-03-02 22:55:34.450",NULL
"2017-03-02 22:57:07.988",1.9
"2017-03-02 22:59:05.825",2.03
"2017-03-02 23:05:38.945",1.95
"2017-03-02 23:07:29.840",2.3
"2017-03-02 23:09:03.637",2.34
"2017-03-02 23:10:37.472",1.83
"2017-03-02 23:12:35.076",2.02
"2017-03-02 23:19:18.269",2.29
"2017-03-02 23:21:07.937",1.9
"2017-03-02 23:22:41.380",1.88
"2017-03-02 23:24:15.057",1.7
"2017-03-02 23:26:13.548",1.99
"2017-03-02 23:33:33.138",1.57
"2017-03-02 23:35:24.241",1.92
"2017-03-02 23:36:58.184",1.66
"2017-03-02 23:38:32.106",1.51
"2017-03-02 23:40:29.869",NULL
"2017-03-03 12:20:53.254",1
"2017-03-03 12:22:44.017",1.87
"2017-03-03 12:24:17.449",1.77
"2017-03-03 12:25:51.137",NULL
"2017-03-03 12:27:48.566",NULL
"2017-03-03 12:29:04.306",1.88
"2017-03-03 12:30:53.572",NULL
"2017-03-03 12:32:27.054",2.15
"2017-03-03 12:34:00.480",2.17
"2017-03-03 12:35:59.036",1.55
"2017-03-03 12:37:15.001",1.97
"2017-03-03 12:39:05.109",2.07
"2017-03-03 12:40:38.581",1.98
"2017-03-03 12:42:12.145",2.02
"2017-03-03 12:44:09.521",2.01
"2017-03-03 12:45:24.645",1.35
"2017-03-03 12:47:14.780",1.74
"2017-03-03 12:48:48.162",1.68
"2017-03-03 12:50:21.851",1.85
"2017-03-03 12:52:18.696",1.98
"2017-03-03 12:53:36.706",1.8
"2017-03-03 12:55:26.747",NULL
"2017-03-03 12:57:00.376",1.74
"2017-03-03 12:58:34.126",1.96
"2017-03-03 13:00:31.236",NULL
"2017-03-03 13:01:47.106",NULL
"2017-03-03 13:03:37.811",1.57
"2017-03-03 13:05:11.317",1.87
"2017-03-03 13:06:44.838",1.98
"2017-03-03 13:08:42.219",1.87
"2017-03-03 13:09:55.814",2.04
"2017-03-03 13:11:46.114",2.08
"2017-03-03 13:13:19.856",2.04
"2017-03-03 13:14:53.324",NULL
"2017-03-03 13:16:50.772",2.15
"2017-03-03 13:18:05.225",1.6
"2017-03-03 13:19:55.717",2.17
"2017-03-03 13:21:29.570",2.16
"2017-03-03 13:23:03.293",1.83
"2017-03-03 13:25:01.711",2.22
"2017-03-03 13:26:14.879",2.01
"2017-03-03 13:28:05.011",2.06
"2017-03-03 13:45:58.244",NULL
"2017-03-03 13:47:48.778",2.3
"2017-03-03 13:49:22.607",NULL
"2017-03-03 13:50:56.039",2.3
"2017-03-03 13:52:53.705",1.9
"2017-03-03 13:54:10.400",2.46
"2017-03-03 13:56:00.989",1.92
"2017-03-03 13:57:34.581",1.8
"2017-03-03 13:59:08.988",2.16
"2017-03-03 14:01:06.678",NULL
"2017-03-03 14:02:21.553",NULL
"2017-03-03 14:04:11.563",NULL
"2017-03-03 14:05:44.997",NULL
"2017-03-03 14:07:18.587",1.99
"2017-03-03 14:09:16.186",1.51
"2017-03-03 14:10:32.443",2.13
"2017-03-03 14:12:23.172",1.21
"2017-03-03 14:13:56.740",1.73
"2017-03-03 14:15:30.610",1.57
"2017-03-03 14:17:28.074",1.79
"2017-03-03 14:18:42.718",2.18
"2017-03-03 14:20:32.289",1.82
"2017-03-03 14:22:06.004",2.06
"2017-03-03 14:23:39.427",NULL
"2017-03-03 14:25:36.613",1.72
