Latitude,Longitude,,,
45 41 94.93,-110 55 25.55,,,
45 41 95.17,-110 55 24.65,,,
45 41 95.44,-110 55 23.71,,,
45 41 95.72,-110 55 22.75,,,
45 41 95.99,-110 55 21.18,,,
45 41 96.23,-110 55 20.85,,,
45 41 96.46,-110 55 19.99,,,
45 41 96.64,-110 55 18.89,,,
45 41 96.77,-110 55 17.82,,,
45 41 96.85,-110 55 16.66,,,
45 41 96.89,-110 55 15.43,,,
45 41 96.88,-110 55 14.15,,,
45 41 96.85,-110 55 12.83,,,
45 41 96.68,-110 55 11.49,,,
45 41 96.73,-110 55 10.17,,,
45 41 96.61,-110 55 89.92,,,
45 41 96.44,-110 55 77.74,,,
45 41 96.22,-110 55 66.66,,,
45 41 95.96,-110 55 54.47,,,
45 41 95.68,-110 55 43.36,,,
45 41 95.38,-110 55 32.25,,,
45 41 95.07,-110 55 21.15,,,
45 41 94.73,-110 55 10.04,,,
45 41 94.39,-110 54 99.94,,,
45 41 94.03,-110 54 98.81,,,
45 41 93.64,-110 54 97.68,,,
45 41 93.19,-110 54 96.57,,,
45 41 92.66,-110 54 95.51,,,
45 41 92.05,-110 54 94.53,,,
45 41 91.37,-110 54 93.66,,,
45 41 90.61,-110 54 92.91,,,
45 41 89.98,-110 54 92.26,,,
45 41 88.94,-110 54 91.71,,,
45 41 88.07,-110 54 91.21,,,
45 41 87.19,-110 54 90.69,,,
45 41 86.33,-110 54 90.11,,,
45 41 85.49,-110 54 89.48,,,
45 41 84.67,-110 54 88.81,,,
45 41 83.89,-110 54 88.07,,,
45 41 83.17,-110 54 87.24,,,
45 41 82.25,-110 54 86.33,,,
45 41 81.19,-110 54 85.34,,,
45 41 81.38,-110 54 84.25,,,
45 41 80.94,-110 54 83.14,,,
45 41 80.49,-110 54 82.08,,,
45 41 79.98,-110 54 81.17,,,
45 41 79.37,-110 54 80.42,,,
45 41 78.67,-110 54 79.81,,,
45 41 77.79,-110 54 79.28,,,
45 41 77.08,-110 54 78.77,,,
45 41 76.23,-110 54 78.25,,,
45 41 75.35,-110 54 77.73,,,
45 41 74.44,-110 54 77.72,,,
45 41 73.51,-110 54 76.66,,,
45 41 72.55,-110 54 76.13,,,
45 41 71.56,-110 54 75.63,,,
45 41 70.56,-110 54 75.18,,,
45 41 69.54,-110 54 74.76,,,
45 41 68.53,-110 54 74.34,,,
45 41 67.53,-110 54 73.86,,,
45 41 66.55,-110 54 73.33,,,
