Latitude,Longitude
48 27 9.53,-107 16 29.76
48 27 9.55,-107 16 2.73
48 27 9.56,-107 16 24.85
48 27 9.58,-107 16 22.39
48 27 9.59,-107 16 19.92
48 27 9.61,-107 16 17.46
48 27 9.63,-107 16 14.98
48 27 9.65,-107 16 12.48
48 27 9.67,-107 16 9.96
48 27 9.7,-107 16 7.41
48 27 9.72,-107 16 4.85
48 27 9.73,-107 16 2.25
48 27 9.75,-107 15 99.64
48 27 9.77,-107 15 9.7
48 27 9.79,-107 15 94.33
48 27 9.81,-107 15 91.64
48 27 9.83,-107 15 88.94
48 27 9.86,-107 15 86.24
48 27 9.89,-107 15 83.53
48 27 9.91,-107 15 80.81
48 27 9.93,-107 15 78.08
48 27 9.94,-107 15 75.33
48 27 9.96,-107 15 72.58
48 27 9.98,-107 15 69.83
48 27 10,-107 15 67.08
48 27 10.02,-107 15 64.33
48 27 10.04,-107 15 61.58
48 27 10.06,-107 15 58.82
48 27 10.08,-107 15 56.06
48 27 10.09,-107 15 5.33
48 27 10.11,-107 15 50.53
48 27 10.14,-107 15 47.76
48 27 10.17,-107 15 44.98
48 27 1.02,-107 15 42.19
48 27 10.23,-107 15 3.94
48 27 10.25,-107 15 3.66
48 27 10.27,-107 15 33.79
48 27 10.29,-107 15 3.1
48 27 10.31,-107 15 28.23
48 27 10.33,-107 15 25.46
48 27 10.34,-107 15 22.69
48 27 10.37,-107 15 19.93
48 27 10.39,-107 15 17.16
48 27 10.42,-107 15 14.39
48 27 10.45,-107 15 11.62
48 27 10.47,-107 15 8.85
48 27 1.05,-107 15 6.09
48 27 10.52,-107 15 3.36
48 27 10.53,-107 15 6.7
48 27 10.54,-107 14 98.01
48 27 10.55,-107 14 95.37
48 27 10.57,-107 14 92.73
48 27 10.58,-107 14 90.06
48 27 10.61,-107 14 87.33
48 27 10.63,-107 14 84.56
48 27 10.67,-107 14 81.76
48 27 1.07,-107 14 78.98
48 27 10.73,-107 14 76.19
48 27 10.75,-107 14 73.39
48 27 10.78,-107 14 70.59
48 27 10.81,-107 14 67.78
48 27 10.83,-107 14 64.97
48 27 10.84,-107 14 62.16
48 27 10.86,-107 14 59.34
48 27 10.87,-107 14 56.51
